nodeid,event,service,time
0,received,/prefix/seq=143,7.486773161
0,sent,/prefix/seq=150,7.500000000
0,received,/prefix/seq=142,7.520287890
0,sent,/prefix/seq=151,7.550000000
0,received,/prefix/seq=144,7.579045016
0,sent,/prefix/seq=152,7.600000000
0,received,/prefix/seq=145,7.628718528
0,sent,/prefix/seq=153,7.650000000
0,received,/prefix/seq=147,7.686760272
0,sent,/prefix/seq=154,7.700000000
0,received,/prefix/seq=146,7.720111510
0,sent,/prefix/seq=155,7.750000000
0,received,/prefix/seq=148,7.778985937
0,sent,/prefix/seq=156,7.800000000
0,received,/prefix/seq=149,7.828678210
0,sent,/prefix/seq=157,7.850000000
0,received,/prefix/seq=151,7.886811646
0,sent,/prefix/seq=158,7.900000000
0,received,/prefix/seq=150,7.920361369
0,sent,/prefix/seq=159,7.950000000
0,received,/prefix/seq=152,7.978882141
0,sent,/prefix/seq=160,8.000000000
0,received,/prefix/seq=153,8.028993815
0,sent,/prefix/seq=161,8.050000000
0,received,/prefix/seq=155,8.087182057
0,sent,/prefix/seq=162,8.100000000
0,received,/prefix/seq=154,8.120382505
0,sent,/prefix/seq=163,8.150000000
0,received,/prefix/seq=156,8.179099846
0,sent,/prefix/seq=164,8.200000000
0,received,/prefix/seq=157,8.229067888
0,sent,/prefix/seq=165,8.250000000
0,received,/prefix/seq=159,8.286872838
0,sent,/prefix/seq=166,8.300000000
0,received,/prefix/seq=158,8.320247321
0,sent,/prefix/seq=167,8.350000000
0,received,/prefix/seq=160,8.379153067
0,sent,/prefix/seq=168,8.400000000
0,received,/prefix/seq=161,8.429104427
0,sent,/prefix/seq=169,8.450000000
0,received,/prefix/seq=163,8.487060086
0,sent,/prefix/seq=170,8.500000000
0,received,/prefix/seq=162,8.520124588
0,sent,/prefix/seq=171,8.550000000
0,received,/prefix/seq=164,8.578532929
0,sent,/prefix/seq=172,8.600000000
0,received,/prefix/seq=165,8.628916762
0,sent,/prefix/seq=173,8.650000000
0,received,/prefix/seq=167,8.687067284
0,sent,/prefix/seq=174,8.700000000
0,received,/prefix/seq=166,8.720473694
0,sent,/prefix/seq=175,8.750000000
0,received,/prefix/seq=168,8.778921708
0,sent,/prefix/seq=176,8.800000000
0,received,/prefix/seq=169,8.828849858
0,sent,/prefix/seq=177,8.850000000
0,received,/prefix/seq=171,8.887482031
0,sent,/prefix/seq=178,8.900000000
0,received,/prefix/seq=170,8.920504850
0,sent,/prefix/seq=179,8.950000000
0,received,/prefix/seq=172,8.979008617
0,sent,/prefix/seq=180,9.000000000
0,received,/prefix/seq=173,9.029052740
0,sent,/prefix/seq=181,9.050000000
