nodeid,service,serviceCount,status,time
6,,17,Current Resource,2.320000000
7,,19,Current Resource,2.320000000
8,,0,Current Resource,2.320000000
6,/prefix/seq=40,18,Data Correction,2.322869062
7,/prefix/seq=46,18,Data Processing,2.330816000
7,0.250563,18,Computation time,2.330816000
6,,18,Current Resource,2.340000000
7,,18,Current Resource,2.340000000
8,,0,Current Resource,2.340000000
6,,18,Current Resource,2.360000000
7,,18,Current Resource,2.360000000
8,,0,Current Resource,2.360000000
6,,18,Current Resource,2.380000000
7,,18,Current Resource,2.380000000
8,,0,Current Resource,2.380000000
6,/prefix/seq=47,17,Data Processing,2.380816000
6,0.291837,17,Computation time,2.380816000
7,/prefix/seq=42,19,Data Correction,2.381378708
6,,17,Current Resource,2.400000000
7,,19,Current Resource,2.400000000
8,,0,Current Resource,2.400000000
6,,17,Current Resource,2.420000000
7,,19,Current Resource,2.420000000
8,,0,Current Resource,2.420000000
7,/prefix/seq=48,18,Data Processing,2.430816000
7,0.250797,18,Computation time,2.430816000
8,/prefix/seq=28,1,Data Correction,2.431428709
6,/prefix/seq=43,18,Data Correction,2.431470901
6,,18,Current Resource,2.440000000
7,,18,Current Resource,2.440000000
8,,1,Current Resource,2.440000000
6,,18,Current Resource,2.460000000
7,,18,Current Resource,2.460000000
8,,1,Current Resource,2.460000000
6,,18,Current Resource,2.480000000
7,,18,Current Resource,2.480000000
8,,1,Current Resource,2.480000000
6,/prefix/seq=49,17,Data Processing,2.480816000
6,0.292043,17,Computation time,2.480816000
6,,17,Current Resource,2.500000000
7,,18,Current Resource,2.500000000
8,,1,Current Resource,2.500000000
6,,17,Current Resource,2.520000000
7,,18,Current Resource,2.520000000
8,,1,Current Resource,2.520000000
6,/prefix/seq=44,18,Data Correction,2.523126682
8,/prefix/seq=50,0,Data Processing,2.530816000
8,1.000608,0,Computation time,2.530816000
6,,18,Current Resource,2.540000000
7,,18,Current Resource,2.540000000
8,,0,Current Resource,2.540000000
6,,18,Current Resource,2.560000000
7,,18,Current Resource,2.560000000
8,,0,Current Resource,2.560000000
6,,18,Current Resource,2.580000000
7,,18,Current Resource,2.580000000
8,,0,Current Resource,2.580000000
6,/prefix/seq=51,17,Data Processing,2.580816000
6,0.291977,17,Computation time,2.580816000
7,/prefix/seq=46,19,Data Correction,2.581378902
6,,17,Current Resource,2.600000000
7,,19,Current Resource,2.600000000
8,,0,Current Resource,2.600000000
6,,17,Current Resource,2.620000000
7,,19,Current Resource,2.620000000
8,,0,Current Resource,2.620000000
7,/prefix/seq=52,18,Data Processing,2.630816000
7,0.250680,18,Computation time,2.630816000
6,,17,Current Resource,2.640000000
